,0
394,0.98150057
395,0.97987854
396,0.9822467
397,0.97992057
398,0.9797633
399,0.97853744
400,0.97835326
401,0.9795635
402,0.98005664
403,0.97881764
404,0.98126227
405,0.9784232
406,0.9792883
407,0.9802703
408,0.98054564
409,0.97988975
410,0.97886175
411,0.9799581
412,0.9792563
413,0.9785231
414,0.9805233
415,0.9807562
416,0.9808828
417,0.9812749
418,0.9797268
419,0.98105276
420,0.9802284
421,0.9803849
422,0.9806349
423,0.98084337
424,0.9798584
425,0.9802801
426,0.9801177
427,0.98039436
428,0.9802717
429,0.97974885
430,0.9804249
431,0.97949666
432,0.98108685
433,0.9795324
434,0.9784666
435,0.9805766
436,0.98007417
437,0.97902364
438,0.9777878
439,0.97982436
440,0.9806032
441,0.9816248
442,0.97954977
443,0.98007184
444,0.97864914
445,0.980958
446,0.9797366
447,0.98113185
448,0.97987926
449,0.9812945
450,0.980101
451,0.98111385
452,0.9797697
453,0.9791768
454,0.97901064
455,0.9798792
456,0.9793099
457,0.97893864
458,0.9794697
459,0.97821325
460,0.98160565
461,0.9804908
462,0.9798009
463,0.9785893
464,0.9791692
465,0.98082095
466,0.97831064
467,0.9798096
468,0.9810452
469,0.9815358
470,0.97936285
471,0.98121315
472,0.98193985
473,0.98037183
474,0.9792844
475,0.97981226
476,0.97996175
477,0.9802924
478,0.9827363
479,0.979717
480,0.9793875
481,0.9817385
482,0.97967637
483,0.9793876
484,0.9785622
485,0.97896385
486,0.98030704
487,0.9787988
488,0.9799697
489,0.97909045
490,0.9814313
491,0.9805156
492,0.9807134
493,0.979412
494,0.97966504
495,0.9797606
496,0.9795078
497,0.9805071
498,0.9799066
499,0.9802747
500,0.979357
501,0.97971535
502,0.98012096
503,0.9801648
504,0.9781501
505,0.97940785
506,0.9799115
507,0.97905225
508,0.98155874
509,0.9810117
510,0.97921485
511,0.97864103
512,0.978868
513,0.97938627
514,0.9810075
515,0.9792637
516,0.97969955
517,0.9815159
518,0.9821662
519,0.98063874
520,0.9801086
