,0
741,0.97971267
742,0.98029065
743,0.97979736
744,0.9785626
745,0.9809643
746,0.98026824
747,0.9794022
748,0.97844905
749,0.98003083
750,0.9794221
751,0.98098
752,0.9792616
753,0.98064464
754,0.97972983
755,0.98284173
756,0.9793808
757,0.97871506
758,0.981171
759,0.9789851
760,0.9791134
761,0.9797503
762,0.9794681
763,0.97976255
764,0.9785826
765,0.97997946
766,0.98108464
767,0.9797915
768,0.980598
769,0.97920495
770,0.98045826
771,0.9789447
772,0.97887844
773,0.9795138
774,0.97990453
775,0.98012394
776,0.97826093
777,0.97830135
778,0.98058605
779,0.9795683
780,0.9791142
781,0.9799587
782,0.9792403
783,0.9806222
784,0.9815802
785,0.9818952
786,0.98020524
787,0.9801661
788,0.9797715
789,0.9793223
790,0.97911817
791,0.97913617
792,0.9788533
793,0.97798187
794,0.97988
795,0.9797065
796,0.9795244
797,0.97910196
798,0.9791706
799,0.9818532
800,0.98166686
801,0.9799797
802,0.979309
803,0.98173606
804,0.9802576
805,0.9789592
806,0.9804511
807,0.979553
808,0.9791315
809,0.97926325
810,0.979528
811,0.98036313
812,0.9800393
813,0.9795595
814,0.97981423
815,0.979965
816,0.9791959
817,0.979406
818,0.97941786
819,0.97780013
820,0.9800235
821,0.9780216
822,0.9800508
823,0.9796999
824,0.9816868
825,0.9811507
826,0.9786606
827,0.9808429
828,0.980775
829,0.97981906
830,0.9789357
831,0.9799093
832,0.98027617
833,0.97985256
834,0.98064077
835,0.9789351
836,0.9799798
837,0.97931516
838,0.9794565
839,0.98150355
840,0.9805113
841,0.9816088
842,0.980389
843,0.9829447
844,0.9792027
845,0.97966653
846,0.97912055
847,0.9815361
848,0.98056144
849,0.9804832
850,0.9784599
851,0.9811301
852,0.97959197
853,0.9792988
854,0.9801931
855,0.9784837
856,0.98092395
857,0.9808441
858,0.9802605
859,0.9798402
860,0.97980964
861,0.9798753
862,0.9800452
863,0.9795259
864,0.98003393
865,0.9791688
866,0.97930765
867,0.9800296
868,0.9794422
869,0.98049533
870,0.978296
871,0.98054343
872,0.9811956
873,0.97999173
874,0.98036367
875,0.9779556
876,0.9783919
877,0.9808993
878,0.98037297
879,0.9794869
880,0.980551
881,0.9795768
882,0.98112184
883,0.9813823
884,0.9810212
885,0.9819456
886,0.98042756
887,0.9795113
888,0.97992855
889,0.979197
890,0.9805008
891,0.97952604
892,0.98073816
893,0.98016614
894,0.98083454
895,0.98061436
896,0.9793818
897,0.98043525
898,0.9802596
899,0.9792005
900,0.9798862
901,0.9796508
902,0.9807044
903,0.9795161
904,0.9799658
905,0.9793401
906,0.9794571
907,0.9796888
908,0.9797861
909,0.97989
910,0.9792941
911,0.9798643
912,0.9791027
913,0.9796351
914,0.9782828
915,0.98062277
916,0.9794172
917,0.9806826
918,0.9815183
919,0.9796948
920,0.9801983
921,0.9806681
922,0.9796491
923,0.9808981
924,0.97954834
925,0.97776836
926,0.9803363
927,0.9792709
928,0.9798494
929,0.9800338
930,0.9793919
931,0.9811842
932,0.9818476
933,0.9798777
934,0.97896737
935,0.97994196
936,0.98089916
937,0.9802161
938,0.9795189
939,0.9793255
940,0.9795166
941,0.9794679
942,0.97917944
943,0.98032355
944,0.9794651
945,0.9810528
946,0.98051864
947,0.9785114
948,0.9791244
949,0.9803933
950,0.9804189
951,0.98035496
952,0.98010945
953,0.98012245
954,0.9803513
955,0.97980887
956,0.9819181
957,0.9814654
958,0.9793471
959,0.9801819
960,0.98073924
961,0.9810867
962,0.9789676
963,0.9804148
964,0.9781556
965,0.9783605
966,0.9791876
967,0.98025477
968,0.9793252
969,0.98097944
970,0.98057646
971,0.98002046
972,0.9795521
973,0.981938
974,0.98013186
975,0.9818058
976,0.9806909
977,0.97846633
978,0.9800245
979,0.97943544
980,0.98070955
981,0.9820985
982,0.9799062
983,0.98150253
984,0.9788498
985,0.9814415
986,0.9792353
987,0.97875255
988,0.9792222
989,0.98010373
990,0.97680146
991,0.980325
992,0.9798185
993,0.97907907
994,0.97829896
995,0.98119295
996,0.98064655
997,0.9801423
998,0.9797667
999,0.9800489
1000,0.9820646
1001,0.97870386
1002,0.98143524
1003,0.9791603
1004,0.9825704
1005,0.9799871
1006,0.9806956
1007,0.98131055
1008,0.9816026
1009,0.97917527
1010,0.97922677
1011,0.9809231
1012,0.98044795
1013,0.9804367
1014,0.9798201
1015,0.9797035
1016,0.98000115
1017,0.9822097
1018,0.9809287
1019,0.9785266
1020,0.980887
1021,0.9806873
1022,0.98002094
1023,0.9781206
1024,0.9802208
1025,0.9797253
1026,0.9804846
1027,0.9816405
1028,0.9812845
1029,0.98005253
1030,0.98077893
1031,0.9817979
1032,0.9814688
